race_id,stadium,boat_num,racer_id,racer_name,win_rate,motor_rate,rank
20260725-01-01,桐生,1,4320,峰竜太,0.85,0.42,1
20260725-01-01,桐生,2,4444,毒島誠,0.81,0.38,2
20260725-01-01,桐生,3,3783,瓜生正義,0.72,0.35,3
20260725-01-01,桐生,4,3897,白井英治,0.78,0.31,4
20260725-01-01,桐生,5,4168,石野貴之,0.75,0.29,5
20260725-01-01,桐生,6,4547,中島孝平,0.69,0.27,6
20260725-01-02,桐生,1,4444,毒島誠,0.81,0.45,1
20260725-01-02,桐生,2,4320,峰竜太,0.85,0.39,2
20260725-01-02,桐生,3,3897,白井英治,0.78,0.33,3
20260725-01-02,桐生,4,3783,瓜生正義,0.72,0.30,4
20260725-01-02,桐生,5,4547,中島孝平,0.69,0.28,5
20260725-01-02,桐生,6,4168,石野貴之,0.75,0.25,6
20260725-04-01,平和島,1,3783,瓜生正義,0.72,0.40,1
20260725-04-01,平和島,2,4168,石野貴之,0.75,0.36,2
20260725-04-01,平和島,3,4320,峰竜太,0.85,0.35,3
20260725-04-01,平和島,4,4444,毒島誠,0.81,0.32,4
20260725-04-01,平和島,5,3897,白井英治,0.78,0.28,5
20260725-04-01,平和島,6,4547,中島孝平,0.69,0.24,6
